preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
HNRNPUL2-BSCL2,LINC02160,HCAR2,EIF3CL,ELMO1,KISS1,HKDC1,EIF4E2
HOMER1,LINC02174,HCAR3,EIF3CL.1,ELMO2,KITLG,HLA-DRB1,EIF4EBP1
HOMER2,LINC02181,HCCS,EIF3E,ELMOD1,KLF10,HLA-E,EIF4EBP2
HOXA-AS3,LINC02203,HCLS1,EIF3F,ELMSAN1,KLF16,HLCS,EIF4G1
HOXA10-HOXA9,LINC02203.1,HCRTR1,EIF3G,ELOA2,KLF17,HMGA1P7,EIF4G2
HOXA2,LINC02203.2,HDAC6,EIF3H,ELOA3B,KLF3,HMGCR,EIF4H
HOXA7,LINC02213,HDAC8,EIF3I,ELOA3B.1,KLF5,HMGCS2,EIF5A
HOXD4,LINC02214,HDDC3,EIF3L,ELOA3C,KLF9,HMHB1,EIF6
HOXD8,LINC02229,HEATR3,EIF3M,ELOVL2-AS1,KLHDC8B,HMOX1,ELMOD2
HPF1,LINC02238,HEATR9,EIF4B,ELOVL3,KLHL15,HMOX2,ELN
HPRT1,LINC02256,HECTD1,EIF4E2,ELOVL4,KLHL17,HNF1A-AS1,ELOVL6
HPS3,LINC02261,HECW2-AS1,EIF4EBP1,ELOVL5,KLHL21,HNF1B,ELP1
HPS5,LINC02266,HEG1,EIF4EBP2,ELP3,KLK1,HNF4A,ELP2
HRG,LINC02293,HELZ2,EIF4H,ELP4,KLK10,HNF4G,ELP5
HS6ST3,LINC02322,HEMK1,EIF5A,EMC8,KLK11,HNRNPA1P10,EMB
HSF2BP,LINC02372,HERC2P11,EIF6,EMILIN2,KLK14,HNRNPA3,EMBP1
HSF5,LINC02380,HERC2P3,ELAC1,EML1,KLK3,HNRNPCL3,EMC1
HSPA12A,LINC02384,HERPUD1,ELF3-AS1,EML5,KLK4,HNRNPKP3,EMC10
HSPA12B,LINC02411,HEXA-AS1,ELN,EML6,KLK9,HNRNPR,EMC6
HSPA1L,LINC02412,HGD,ELOB,EMSY,KLRB1,HOPX,EMC9
HSPA4L,LINC02432,HID1-AS1,ELOF1,EMX2,KMT5A,HORMAD1,EMD
HSPB1,LINC02447,HIGD1A,ELOVL6,ENAM,KNG1,HORMAD2-AS1,EME2
HSPB11,LINC02488,HIGD2A,ELP2,ENG,KPNA2,HOXA-AS3,EMG1
HSPB6,LINC02501,HILS1,ELP5,ENHO,KPNA3,HOXA10-HOXA9,EMID1
HSPB9,LINC02516,HINT3,ELP6,ENKD1,KPNA6,HOXA6,EMILIN1
HSPBAP1,LINC02526,HIST1H1B,EMB,ENOX1,KPTN,HOXB4,EML2-AS1
HTR1D,LINC02532,HIST1H1C,EMBP1,ENPP2,KRAS,HOXC13,EML4
HTR1F,LINC02538,HIST1H1E,EMC6,ENTHD1,KRBOX4,HOXC13-AS,EMP3
HTR2A,LINC02550,HIST1H2AB,EMC7,ENTPD5,KRT10,HOXC8,ENAH
HTR3C,LINC02569,HIST1H2AD,EMC9,ENTPD7,KRT15,HOXD13,ENC1
HTR3D,LINC02583,HIST1H2AE,EMD,ENTR1,KRT16P1,HOXD3,ENDOV
HTR5A-AS1,LINC02588,HIST1H2AI,EMG1,EOGT,KRT16P2,HOXD9,ENO1
HUNK,LINC02616,HIST1H2AJ,EMID1,EP300,KRT17P1,HPD,ENO3
HYAL6P,LINC02620,HIST1H2AK,EML2,EP400,KRT27,HPDL,ENO4
HYDIN,LINCMD1,HIST1H2AL,EMP3,EP400P1,KRT32,HPGD,ENOPH1
IBA57-DT,LINCR-0003,HIST1H2BA,ENC1,EPAS1,KRT38,HPR,ENOSF1
ICA1,LINS1,HIST1H2BE,ENO1,EPB41L2,KRT39,HPS1,ENPP1
ICE1,LIPT1,HIST1H2BF,ENOPH1,EPB41L4A,KRT73,HRAS,ENPP4
IDE,LL22NC03-63E9.3,HIST1H2BI,ENPP1,EPB41L4B,KRT81,HRH1,ENPP6
IER3IP1,LLPH,HIST1H2BM,ENPP4,EPB41L5,KRT83,HRH2,ENTPD2
IFNAR1,LMO2,HIST1H3B,ENPP5,EPC1,KRT84,HRH3,ENTPD3
IFNAR2,LMTK3,HIST1H3D,ENPP6,EPHA10,KRT86,HS3ST1,ENTPD3-AS1
IFNE,LMX1A,HIST1H3F,ENSA,EPHA3,KRTAP1-3,HS3ST3A1,ENY2
IFNGR2,LNX2,HIST1H3H,ENTPD3-AS1,EPHB1,KRTAP10-3,HS6ST1,EPB41
IFT122,LOC100126784,HIST1H3J,ENTPD4,EPM2A,KRTAP10-9,HSBP1L1,EPCAM
IFT74,LOC100128108,HIST1H4C,ENTPD6,EPN2,KRTAP12-2,HSD17B1,EPDR1
IGDCC4,LOC100129148,HIST1H4L,EP400P1,EPS15L1,KRTAP19-5,HSD17B11,EPHA1
IGF1R,LOC100129175,HIST2H2AB,EPCAM,EPSTI1,KRTAP2-1,HSD17B2,EPHA1-AS1
IGF2BP3,LOC100129203,HIST2H2AC,EPDR1,ERBB4,KRTAP20-2,HSD17B3,EPHA2
IGFBP1,LOC100129540,HIST2H2BC,EPHA1,ERBIN,KRTAP4-11,HSD3B1,EPHA6
IGFBP3,LOC100129724,HIST2H3A,EPHA2,ERC2-IT1,KRTAP4-6,HSDL2,EPHB4
IGLL5,LOC100129917,HIST3H2A,EPHA5,ERCC4,KRTAP4-8,HSPB7,EPHB6
IGSF10,LOC100130075,HIST3H3,EPHA6,ERCC6,KRTAP5-10,HSPB8,EPHX2
IGSF11,LOC100130264,HIVEP3,EPHA8,ERCC6L,KRTAP5-11,HTR1D,EPHX3
IGSF9,LOC100130357,HKDC1,EPHB4,ERCC6L2,KRTAP9-1,HTR1F,EPO
IL10RA,LOC100130691,HLA-DRB1,EPHB6,ERG,KRTAP9-2,HTR2A,EPRS
IL12B,LOC100130992,HLA-E,EPHX3,ERI1,KRTAP9-7,HTR2B,EPS15
IL17B,LOC100132356,HLA-F,EPM2A,ERI2,LACC1,HTR3B,EPS8L2
IL17C,LOC100133091,HLX,EPOR,ERICH3,LAMA5-AS1,HTR3D,EPX
IL17RD,LOC100287497,HMCN2,EPRS,ERICH6B,LAMTOR5-AS1,HTR5A-AS1,ERAP1
IL1RAPL1,LOC100288748,HMGCR,EPS8L2,ERLIN1,LARP1B,HTRA2,ERBB2
IL1RAPL2,LOC100289333,HMGCS1,ERAL1,ERN1,LARP4,HTRA4,ERBB3
IL21-AS1,LOC100289361,HMOX1,ERAP1,ERO1A,LAT2,HUS1,ERCC1
IL23R,LOC100289511,HMOX2,ERBB2,ERO1B,LATS1,HUWE1,ERG28
IL2RB,LOC100291105,HNF1B,ERC2-IT1,ERP44,LBHD1,HYAL1,ERGIC1
IL4,LOC100294362,HNF4A,ERCC1,ESCO2,LCAT,HYAL4,ERGIC3
IL4I1,LOC100335030,HNF4G,ERCC8,ESPL1,LCE2C,HYOU1,ERI3
ILDR2,LOC100379224,HNRNPA1P10,ERG28,ESR2,LCE6A,IAPP,ERI3-IT1
IMMT,LOC100422556,HNRNPA1P33,ERGIC1,ESX1,LCMT1-AS1,IBSP,ERICH1
IMPA1,LOC100422781,HNRNPCL4,ERGIC3,ETAA1,LCMT2,ICAM4,ERLIN2
IMPG1,LOC100506023,HOPX,ERH,ETFA,LCN8,ICOSLG,ERV3-1-ZNF117
INA,LOC100506083,HORMAD1,ERI3,ETFDH,LCT,ID2,ERVMER34-1
INHBC,LOC100506282,HORMAD2,ERI3-IT1,ETV5,LDHA,ID4,ESD
INPP4A,LOC100506682,HORMAD2-AS1,ERICH6-AS1,EVC,LDHAL6B,IDI2,ESM1
INPP5B,LOC100506790,HOTS,ERP29,EVC2,LEAP2,IDI2-AS1,ESPN
INPP5E,LOC100506804,HOXA10,ERV3-1-ZNF117,EVI5L,LEMD1,IFI16,ESRG
INSC,LOC100507053,HOXA10-AS,ERVMER34-1,EVPL,LEMD3,IFI27,ESRP2
INSL6,LOC100507351,HOXB-AS3,ESD,EVX1-AS,LENG8,IFI44,ESYT1
INTS8,LOC100507373,HOXB13,ESRG,EWSAT1,LENG8-AS1,IFIT1B,ETFB
INTS9,LOC100507377,HOXB3,ESYT1,EXD1,LEUTX,IFIT2,ETNK2
IPO8,LOC100508046,HOXB4,ETFB,EXD3,LFNG,IFITM1,ETS1
IQCA1,LOC100996249,HOXB7,ETNK1,EXO1,LGALS9,IFITM3,ETS2
IQCA1L,LOC100996654,HOXC12,ETNK2,EXO5,LHCGR,IFNA10,ETV1
IQCB1,LOC101059915,HOXC13-AS,ETS1-AS1,EXOC2,LHFPL3-AS1,IFNA14,ETV4
IQCD,LOC101241902,HOXC5,ETS2,EXOC5,LHFPL3-AS2,IFNA5,ETV6
IQCE,LOC101559451,HOXD13,ETV1,EXOSC3,LHX1,IFNA6,EVA1A
IQCJ,LOC101926933,HOXD3,ETV2,EXOSC7,LHX1-DT,IFNB1,EVI2A
IRAIN,LOC101926964,HP1BP3,ETV4,EXT1,LIAS,IFNE,EWSR1
IRAK1BP1,LOC101927050,HPDL,EVA1A,EXT2,LILRB4,IFNGR1,EXOC6B
IRAK2,LOC101927051,HPGD,EVA1C,EXTL3,LIN54,IFNK,EXOC7
IRF1,LOC101927079,HPN-AS1,EVL,EXTL3-AS1,LINC00115,IFNL2,EXOG
IRF6,LOC101927100,HPS6,EWSR1,EYA1,LINC00167,IFNW1,EXOSC1
IRF8,LOC101927166,HPSE,EXOC1L,EZH1,LINC00302,IFT172,EXOSC10-AS1
ISL1,LOC101927168,HR,EXOC3-AS1,F11-AS1,LINC00312,IGBP1P1,EXOSC2
ISOC1,LOC101927189,HRAS,EXOC6B,F9,LINC00324,IGF1,EXOSC4
ISX-AS1,LOC101927237,HRCT1,EXOSC1,FADS3,LINC00337,IGF2BP2-AS1,EXOSC5
ITGA11,LOC101927267,HRH1,EXOSC10,FAM102A,LINC00339,IGFL4,EXOSC6
ITGA4,LOC101927365,HRK,EXOSC2,FAM104A,LINC00355,IGIP,EXOSC8
ITGA9,LOC101927418,HRNR,EXOSC5,FAM107A,LINC00400,IGLL1,EXOSC9
ITGAE,LOC101927420,HS3ST1,EXOSC8,FAM107B,LINC00407,IGSF3,EXTL2
ITGB3BP,LOC101927543,HS3ST3A1,EXT2,FAM110A,LINC00408,IHH,EZR
ITGBL1,LOC101927551,HS3ST3B1,EXTL2,FAM114A2,LINC00437,IKZF4,F10
ITIH4,LOC101927596,HS6ST1,F12,FAM117A,LINC00443,IL10,F12
ITIH5,LOC101927727,HSBP1L1,F2R,FAM118A,LINC00471,IL10RB,F2R
ITM2C,LOC101927770,HSD17B1,F2RL2,FAM118B,LINC00473,IL11,F2RL2
ITPR1,LOC101927795,HSD17B11,FAAH2,FAM120B,LINC00476,IL12A,F7
ITPRID2,LOC101927798,HSD17B6,FAAP20,FAM120C,LINC00513,IL12RB2,F8
ITSN2,LOC101927827,HSD3B1,FABP6,FAM122B,LINC00526,IL17REL,FAAH2
IZUMO2,LOC101927919,HSD3BP4,FADD,FAM129B,LINC00612,IL18BP,FAAP100
JADE3,LOC101928012,HSDL2,FADS1,FAM131A,LINC00640,IL18R1,FAAP20
JAG1,LOC101928042,HSP90AA1,FADS2,FAM135A,LINC00641,IL18RAP,FADD
JAK1,LOC101928053,HSP90AB4P,FADS6,FAM135B,LINC00652,IL19,FADS1
JAKMIP3,LOC101928068,HSPA6,FAH,FAM138A,LINC00662,IL1A,FADS2
JAM3,LOC101928119,HSPA8,FAHD1,FAM13A,LINC00663,IL1R1,FADS6
JARID2,LOC101928131,HSPB8,FAHD2A,FAM149A,LINC00670,IL1R2,FAH
JAZF1,LOC101928191,HSPC324,FAHD2B,FAM149B1,LINC00673,IL1RL2,FAHD1
JHY,LOC101928211,HSPH1,FAIM,FAM157B,LINC00680,IL21R,FAHD2B
JMY,LOC101928371,HTATSF1P2,FALEC,FAM157B.1,LINC00680-GUSBP4,IL22,FAHD2CP
KAAG1,LOC101928402,HTR2B,FAM110B,FAM157C,LINC00682,IL22RA1,FAIM
KALRN,LOC101928523,HTRA2,FAM110C,FAM160A1,LINC00689,IL32,FAM110B
KANK2,LOC101928530,HTRA4,FAM111A,FAM160A2,LINC00839,IL33,FAM110C
KAT7,LOC101928617,HTT,FAM111A-DT,FAM161B,LINC00865,IL36B,FAM111A
KATNA1,LOC101928697,HTT-AS,FAM114A1,FAM163B,LINC00868,IL36RN,FAM111A-DT
KATNAL1,LOC101928700,HUS1,FAM120AOS,FAM166B,LINC00870,IL37,FAM114A1
KBTBD2,LOC101928837,HUWE1,FAM126A,FAM167A,LINC00877,IL6,FAM120A
KBTBD7,LOC101928844,HYAL1,FAM129A,FAM167B,LINC00894,IL6R,FAM124A
KCND3-AS1,LOC101928902,HYAL3,FAM131B,FAM168B,LINC00899,IL6ST,FAM126A
KCNE1B,LOC101928924,HYAL4,FAM136A,FAM169A,LINC00958,IMPAD1,FAM129A
KCNE4,LOC101928994,HYKK,FAM155A,FAM172BP,LINC00992,INAFM1,FAM129C
KCNH1,LOC101929057,HYMAI,FAM157A,FAM174A,LINC00997,INAVA,FAM131B
KCNH1-IT1,LOC101929058,HYOU1,FAM157C,FAM181B,LINC01000,INHBC,FAM136A
KCNH7,LOC101929122,IARS2,FAM162A,FAM184A,LINC01001,INPP5D,FAM155A
KCNIP4,LOC101929124,IATPR,FAM167B,FAM189A2,LINC01023,INSIG1,FAM155B
KCNJ18,LOC101929243,IBTK,FAM171A1,FAM193A,LINC01033,INSL4,FAM156A
KCNJ6,LOC101929315,ICK,FAM171B,FAM199X,LINC01056,INSL5,FAM156A.1
KCNK13,LOC101929415,ICMT,FAM174A,FAM214A,LINC01061,INSM1,FAM157A
KCNMB2,LOC101929464,ID2,FAM183A,FAM220A,LINC01068,IPMK,FAM161A
KCNN2,LOC101929523,IDH1,FAM185A,FAM221A,LINC01080,IPO9-AS1,FAM162A
KCNQ1,LOC101929592,IDH3A,FAM189B,FAM221B,LINC01094,IQCF1,FAM168A
KCNQ1-AS1,LOC101929622,IDI1,FAM192A,FAM222A-AS1,LINC01124,IQCN,FAM170A
KCNQ3,LOC101929626,IFI16,FAM201A,FAM222B,LINC01144,IRAK1,FAM171A1
KCNT1,LOC101929662,IFI27,FAM201B,FAM227A,LINC01193,IRF2BP2,FAM171A2
KCTD10,LOC101929762,IFI30,FAM204A,FAM227B,LINC01194,IRF9,FAM173A
KCTD13,LOC102546294,IFI44L,FAM20C,FAM230I,LINC01224,IRGC,FAM174B
KCTD2,LOC102723385,IFI6,FAM210B,FAM241B,LINC01226,IRS1,FAM185A
KCTD5,LOC102723439,IFIT2,FAM216A,FAM24A,LINC01243,ISCA1,FAM189A1
KDM1B,LOC102723582,IFITM1,FAM217B,FAM24B,LINC01254,ISM1,FAM189B
KDM3A,LOC102723665,IFITM10,FAM219B,FAM25A,LINC01257,ISM1-AS1,FAM192A
KDM4A,LOC102723672,IFITM3,FAM221A,FAM30A,LINC01276,ISM2,FAM201A
KDM4D,LOC102723703,IFNGR1,FAM229A,FAM41C,LINC01311,ITGAM,FAM209B
KDM5A,LOC102723996,IFNK,FAM234A,FAM47E,LINC01315,ITGAX,FAM20C
KDM5C,LOC102724020,IFNL2,FAM239A,FAM53B,LINC01355,ITGB3,FAM210B
KDM6A,LOC102724034,IFNL3,FAM24B-CUZD1,FAM66B,LINC01360,ITGB6,FAM215A
KDM6B,LOC102724034.1,IFT172,FAM3A,FAM66C,LINC01429,ITIH3,FAM216A
KHDC3L,LOC102724050,IGF1,FAM3C,FAM71D,LINC01431,ITIH4,FAM217B
KHDRBS3,LOC102724064,IGF2-AS,FAM45A,FAM71E1,LINC01480,ITIH6,FAM219B
KHSRP,LOC102724153,IGF2BP1,FAM47E-STBD1,FAM72A,LINC01494,ITPKC,FAM230A
KIAA0232,LOC102724434,IGF2R,FAM49B,FAM72B,LINC01524,IVL,FAM230B
KIAA0355,LOC105369201,IGFBP7-AS1,FAM53B-AS1,FAM72C,LINC01525,JADE3,FAM3A
KIAA0586,LOC105369747,IGSF22,FAM57A,FAM72C.1,LINC01538,JAGN1,FAM45A
KIAA0753,LOC105369980,IGSF3,FAM57B,FAM72D,LINC01550,JAML,FAM47E-STBD1
KIAA0825,LOC105370687,IKZF3,FAM66D,FAM83A-AS1,LINC01562,JAZF1-AS1,FAM49A
KIAA0930,LOC105370941,IL10RB,FAM71F1,FAM83E,LINC01565,JCAD,FAM49B
KIAA1147,LOC105370980,IL11RA,FAM78B,FAM85A,LINC01568,JMJD6,FAM50B
KIAA1211,LOC105371046,IL15,FAM85B,FAM86B1,LINC01569,JPX,FAM57A
KIAA1211L,LOC105371049,IL17D,FAM86B3P,FAM86HP,LINC01578,JTB,FAM57B
KIAA1257,LOC105371485,IL17RB,FAM86DP,FAM90A1,LINC01647,JUNB,FAM71F1
KIAA1324L,LOC105371592,IL18BP,FAM86EP,FAM90A10P,LINC01694,JUND,FAM74A3
KIAA1549,LOC105371730,IL18R1,FAM86FP,FAM90A25P,LINC01703,JUP,FAM78B
KIAA1549L,LOC105371763,IL1F10,FAM86HP,FAM90A26,LINC01708,KAAG1,FAM83F
KIAA1614-AS1,LOC105372582,IL1R1,FAM92A,FAM90A27P,LINC01716,KANK1,FAM86C1
KIAA1671,LOC105372653,IL1R2,FAM98A,FAM90A2P,LINC01730,KANK4,FAM86C2P
KIAA1841,LOC105372672,IL22RA1,FAN1,FANCC,LINC01740,KAT14,FAM86DP
KIAA1958,LOC105373044,IL32,FANCA,FANCD2,LINC01754,KAT2A,FAM86EP
KIF13B,LOC105373311,IL36A,FANCD2,FANCM,LINC01756,KAT2B,FAM92A
KIF14,LOC105373383,IL36RN,FANCF,FARP1,LINC01819,KAT6B,FAM95A
KIF15,LOC105373656,IL4R,FANCG,FARP2,LINC01882,KATNBL1,FAM95C
KIF16B,LOC105373764,IL6,FAR2P2,FAS-AS1,LINC01907,KAZN,FAM98A
KIF18A,LOC105374205,IL6R,FARSA,FASTKD1,LINC01945,KAZN-AS1,FAM98B
KIF1BP,LOC105374952,IL6ST,FARSB,FASTKD3,LINC01987,KCNA10,FAN1
KIF23,LOC105375131,IMP4,FAS,FAT1,LINC01999,KCNC2,FANCA
KIF25,LOC105375166,IMPAD1,FASTK,FAT2,LINC02005,KCND3,FANCF
KIF26B,LOC105375483,IMPG2,FAT3,FAXDC2,LINC02008,KCNH2,FANCG
KIF2C,LOC105376114,INAVA,FAT4,FBH1,LINC02017,KCNH4,FAR1
KIF3A,LOC105376917,INHA,FAXC,FBP2,LINC02018,KCNH6,FAR2
KIF4A,LOC105376975,INHBA-AS1,FBL,FBRS,LINC02028,KCNIP2,FAR2P2
KIF6,LOC105377213,INMT-MINDY4,FBLIM1,FBXL15,LINC02028.1,KCNJ10,FARSA
KIFC3,LOC105377372,INO80,FBLL1,FBXL17,LINC02033,KCNJ12,FAS
KIRREL3-AS3,LOC105377752,INPP5D,FBLN1,FBXL21P,LINC02054,KCNJ13,FASN
KIT,LOC105377763,INPPL1,FBN2,FBXL3,LINC02089,KCNJ14,FASTKD2
KL,LOC105377849,INSIG1,FBN3,FBXL5,LINC02133,KCNJ15,FAT3
KLC2,LOC105378663,INSL4,FBXL16,FBXL6,LINC02158,KCNJ16,FAT4
KLC4,LOC105379183,INSM1,FBXL4,FBXL7,LINC02167,KCNJ3,FATE1
KLF11,LOC105379511,INSR,FBXO17,FBXO10,LINC02174,KCNJ5,FBF1
KLF12,LOC107984036,INSRR,FBXO2,FBXO24,LINC02214,KCNK1,FBLIM1
KLF2,LOC107984132,INSYN1,FBXO21,FBXO30,LINC02228,KCNK3,FBLL1
KLHDC10,LOC107984341,INSYN2A,FBXO22,FBXO33,LINC02229,KCNK4,FBLN1
KLHL1,LOC107984813,INTS1,FBXO44,FBXO4,LINC02246,KCNK4-TEX40,FBN1
KLHL12,LOC110091768,INTS2,FBXO7,FBXO43,LINC02249,KCNMB2,FBN2
KLHL14,LOC112268105,IP6K2,FBXW8,FBXO45,LINC02282,KCNMB3,FBN3
KLHL18,LOC112268140,IP6K3,FBXW9,FBXO47,LINC02298,KCNN1,FBRSL1
KLHL2,LOC114483834,IPMK,FCGRT,FBXO48,LINC02312,KCNN4,FBXL16
KLHL20,LOC148696,IPO7,FCN3,FBXO7,LINC02317,KCNQ1OT1,FBXL19
KLHL24,LOC157273,IPP,FCRL5,FBXO8,LINC02322,KCNQ5,FBXL4
KLHL26,LOC221946,IPPK,FCSK,FBXO9,LINC02323,KCNS2,FBXO17
KLHL28,LOC254028,IQCF5,FDFT1,FBXW11,LINC02328,KCNV1,FBXO2
KLHL32,LOC256880,IQCF5-AS1,FDPS,FBXW2,LINC02372,KCNV2,FBXO21
KLHL38,LOC283028,IQCN,FDPSP2,FBXW9,LINC02380,KCP,FBXO22
KLHL42,LOC283922,IQSEC3,FDX1,FCGR1A,LINC02384,KCTD1,FBXO28
KLHL8,LOC284581,IRF2BP2,FDX2,FCGR1B,LINC02432,KCTD12,FBXO41
KLK3,LOC284898,IRF5,FECH,FCGR1CP,LINC02501,KCTD15,FBXO42
KLLN,LOC284933,IRF9,FEN1,FCGR2C,LINC02502,KCTD4,FBXO44
KLRC1,LOC284950,IRGC,FERMT1,FCHO1,LINC02521,KDF1,FBXW4
KLRF1,LOC285074,IRX1,FETUB,FCHSD1,LINC02529,KDM2A,FBXW8
KMT2B,LOC286178,IRX4,FEZ1,FCMR,LINC02558,KDM7A-DT,FCHO2
KMT2C,LOC286359,ISCU,FGD1,FCN3,LINC02583,KERA,FCHSD2
KMT5C,LOC286437,ISM1-AS1,FGF1,FDFT1,LINC02588,KHDRBS3,FCRL5
KNSTRN,LOC339260,ISOC2,FGF11,FDXACB1,LINC02589,KIAA0087,FDPS
KNTC1,LOC388780,ITGAD,FGF12,FEM1C,LINC02609,KIAA0100,FECH
KPNA7,LOC400710,ITGAM,FGF12-AS1,FENDRR,LINC02616,KIAA0232,FEM1A
KRIT1,LOC401021,ITGAX,FGF13,FER1L6,LINC02624,KIAA0408,FEM1B
KRR1,LOC414300,ITGB3,FGF13-AS1,FER1L6-AS2,LINC02652,KIAA1217,FEN1
KRT24,LOC440040,ITGB6,FGF14-AS2,FEV,LINC02687,KIAA1656,FER1L5
KRT32,LOC440896,ITGB7,FGF14-IT1,FEZ1,LINCR-0001,KIAA1755,FERMT1
KRT36,LOC440910,ITIH6,FGF16,FEZ2,LINS1,KIAA2013,FERMT2
KRT73,LOC441155,ITK,FGF19,FEZF1,LIPT1,KIF1C,FES
KRTAP10-1,LOC441601,ITPK1,FGF2,FEZF2,LLPH,KIF25,FGD1
KRTAP10-12,LOC442028,ITPK1-AS1,FGF20,FFAR3,LLPH-DT,KIR2DS4,FGF1
KRTAP10-2,LOC613266,ITPKA,FGF21,FFAR4,LMAN1L,KIR3DL1,FGF10-AS1
KRTAP19-8,LOC642361,ITPKB,FGF7P3,FGD2,LMBR1L,KIR3DX1,FGF11
KRTAP21-2,LOC642929,ITPKC,FGF7P6,FGD3,LMNTD2,KIRREL3,FGF12
KRTDAP,LOC643339,ITSN1,FGFBP1,FGD4,LMO2,KLB,FGF13
KSR1,LOC644762,IZUMO1,FGFBP3,FGD5P1,LMO4,KLC4,FGF13-AS1
KSR2,LOC644936,JAML,FGFR1,FGF10,LMTK2,KLF1,FGF19
KTN1,LOC645188,JCAD,FGR,FGF12-AS2,LMTK3,KLF13,FGF2
L3MBTL3,LOC647070,JMJD1C-AS1,FHL1,FGF14-AS2,LNX2,KLF4,FGF20
LAGE3,LOC728485,JMJD4,FHL2,FGF14-IT1,LOC100126784,KLF6,FGF7P3
LAMA2,LOC728613,JMJD6,FHL3,FGF16,LOC100128568,KLF8,FGFBP1
LAMB1,LOC728752,JMJD7-PLA2G4B,FIBIN,FGF6,LOC100128653,KLHL31,FGFBP2
LAMP3,LOC729305,JMJD8,FIBP,FGF7,LOC100128885,KLHL33,FGFBP3
LANCL1,LOC730202,JOSD2,FIRRE,FGF9,LOC100129291,KLHL42,FGFR1
LARP4B,LOC79999,JUNB,FIS1,FGFR1OP,LOC100129484,KLHL5,FHDC1
LARP7,LOC79999.1,JUP,FIZ1,FGL1,LOC100129917,KLK13,FHL1
LATS2,LOC79999.2,KANK4,FJX1,FGL2,LOC100130283,KLK6,FHL2
LCA5,LONP2,KAT14,FKBP10,FGR,LOC100130520,KLK7,FHL3
LCA5L,LONRF3,KAT2B,FKBP11,FHAD1,LOC100131047,KLK8,FIBP
LCOR,LPAL2,KAT6B,FKBP14,FHOD1,LOC100131107,KLKP1,FIGN
LCORL,LPCAT2,KAZALD1,FKBP1A,FHOD3,LOC100132077,KLRA1P,FIRRE
LCP2,LRATD1,KAZN,FKBP1A-SDCBP2,FIGNL1,LOC100132249,KLRC1,FIS1
LDLRAD3,LRFN1,KBTBD12,FKBP1B,FKBP15,LOC100132831,KLRG2,FIZ1
LEF1,LRIF1,KBTBD13,FKBP2,FKBP1AP1,LOC100133077,KMO,FJX1
LEKR1,LRIG2,KCNA5,FKBP3,FLCN,LOC100133315,KMT2E-AS1,FKBP10
LEO1,LRIT3,KCNA6,FKBP4,FLG,LOC100272217,KRBA2,FKBP11
LETM2,LRP12,KCNAB2,FKBP5,FLG2,LOC100287015,KREMEN1,FKBP1A
LGALS1,LRP2BP,KCNF1,FKBP7,FLICR,LOC100287175,KRI1,FKBP1B
LGMN,LRP4-AS1,KCNG4,FKBP8,FLJ22447,LOC100287896,KRT13,FKBP3
LHFPL3,LRRC34,KCNIP3,FKBP9,FLJ30679,LOC100288069,KRT14,FKBP4
LHX1,LRRC57,KCNJ12,FKBP9P1,FLJ33534,LOC100288748,KRT17,FKBP5
LHX2,LRRC70,KCNJ13,FKRP,FLJ37201,LOC100289230,KRT18,FKBP7
LHX9,LRRC74A,KCNJ14,FKTN,FLJ46875,LOC100289333,KRT19P2,FKBP8
LIG4,LRRIQ4,KCNJ16,FLAD1,FLNB-AS1,LOC100289361,KRT23,FKBP9
LIMA1,LRRN4CL,KCNJ5,FLII,FLT3,LOC100291105,KRT24,FKRP
LIMS2,LSG1,KCNJ9,FLJ31356,FLYWCH2,LOC100421746,KRT25,FKTN
LIN52,LSM1,KCNK1,FLJ37453,FMN1,LOC100499489,KRT26,FLAD1
LIN7C,LSM10,KCNK2,FLJ42351,FMNL1,LOC100506282,KRT3,FLII
LINC-PINT,LSM14A,KCNK3,FLJ46875,FMNL2,LOC100506790,KRT33A,FLJ32255
LINC-PINT.1,LSMEM1,KCNK4-TEX40,FLNA,FMO3,LOC100506804,KRT37,FLJ42351
LINC00032,LTBP4,KCNK6,FLNC,FMR1,LOC100507053,KRT40,FLJ46906
LINC00174,LTO1,KCNMB3,FLOT2,FN1,LOC100507205,KRT5,FLNA
LINC00189,LTV1,KCNN1,FLT1,FN3K,LOC100507283,KRT6A,FLNC
LINC00260,LUC7L2,KCNN4,FLVCR1,FNDC3B,LOC100507346,KRT6B,FLOT2
LINC00298,LUC7L3,KCNQ1OT1,FLVCR1-DT,FNDC7,LOC100507373,KRT6C,FLT1
LINC00299,LURAP1L-AS1,KCNQ4,FMC1,FNIP1,LOC100507377,KRT7,FLT4
LINC00322,LUZP1,KCNQ5-IT1,FMNL3,FNIP2,LOC100507477,KRT71,FLVCR1
LINC00333,LUZP4,KCNS2,FMO1,FNTB,LOC100507551,KRT74,FLVCR1-DT
LINC00380,LYG1,KCNV2,FN3KRP,FOS,LOC100507557,KRT75,FMC1-LUC7L2
LINC00491,LYSMD1,KCTD15,FNDC11,FOSL2,LOC100507564,KRT76,FMNL3
LINC00494,LZIC,KDM2A,FNTA,FOXA1,LOC100507599,KRT77,FMO4
LINC00508,MAATS1,KDM3B,FOCAD,FOXB1,LOC100996249,KRT79,FMOD
